[train_close][TFT efficiency] Running on device: cpu
[train_close][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 001 | train=0.057410 | val=RMSE:522.24|MAE:487.13|MAPE:15.57% | epoch_time=0.31s
[efficiency_close] Epoch 002 | train=0.017234 | val=RMSE:408.24|MAE:380.19|MAPE:12.04% | epoch_time=0.27s
[efficiency_close] Epoch 003 | train=0.013581 | val=RMSE:531.20|MAE:489.20|MAPE:15.77% | epoch_time=0.33s
[efficiency_close] Epoch 004 | train=0.013297 | val=RMSE:504.71|MAE:456.61|MAPE:14.81% | epoch_time=0.37s
[efficiency_close] Epoch 005 | train=0.011084 | val=RMSE:603.97|MAE:545.51|MAPE:17.63% | epoch_time=0.34s
[efficiency_close] Epoch 006 | train=0.012311 | val=RMSE:604.43|MAE:532.37|MAPE:17.43% | epoch_time=0.30s
[efficiency_close] Epoch 007 | train=0.009575 | val=RMSE:531.58|MAE:488.69|MAPE:15.68% | epoch_time=0.31s
[efficiency_close] Epoch 008 | train=0.009546 | val=RMSE:488.88|MAE:438.06|MAPE:14.18% | epoch_time=0.31s
[efficiency_close] Epoch 009 | train=0.009936 | val=RMSE:602.32|MAE:516.80|MAPE:17.02% | epoch_time=0.30s
[efficiency_close] Epoch 010 | train=0.008928 | val=RMSE:483.92|MAE:434.40|MAPE:14.07% | epoch_time=0.30s
[efficiency_close] Epoch 011 | train=0.008769 | val=RMSE:513.19|MAE:464.66|MAPE:14.97% | epoch_time=0.30s
[efficiency_close] Epoch 012 | train=0.007211 | val=RMSE:502.44|MAE:457.32|MAPE:14.72% | epoch_time=48.88s
[efficiency_close] Epoch 013 | train=0.007234 | val=RMSE:488.53|MAE:426.42|MAPE:13.89% | epoch_time=0.26s
[efficiency_close] Epoch 014 | train=0.006944 | val=RMSE:569.27|MAE:498.48|MAPE:16.33% | epoch_time=0.26s
[efficiency_close] Epoch 015 | train=0.007116 | val=RMSE:519.48|MAE:462.89|MAPE:15.04% | epoch_time=0.26s
[efficiency_close] Epoch 016 | train=0.006675 | val=RMSE:509.71|MAE:449.31|MAPE:14.65% | epoch_time=0.26s
[efficiency_close] Epoch 017 | train=0.005606 | val=RMSE:475.38|MAE:432.90|MAPE:13.89% | epoch_time=0.26s
[efficiency_close] Epoch 018 | train=0.005663 | val=RMSE:491.42|MAE:449.28|MAPE:14.38% | epoch_time=0.26s
[efficiency_close] Epoch 019 | train=0.004505 | val=RMSE:471.99|MAE:424.15|MAPE:13.67% | epoch_time=0.26s
[efficiency_close] Epoch 020 | train=0.004958 | val=RMSE:495.94|MAE:449.95|MAPE:14.50% | epoch_time=0.26s
[efficiency_close] Epoch 021 | train=0.004565 | val=RMSE:469.09|MAE:423.03|MAPE:13.65% | epoch_time=0.26s
[efficiency_close] Epoch 022 | train=0.004326 | val=RMSE:522.54|MAE:464.04|MAPE:15.09% | epoch_time=0.26s
[efficiency_close] Epoch 023 | train=0.004501 | val=RMSE:497.31|MAE:453.57|MAPE:14.56% | epoch_time=0.26s
[efficiency_close] Epoch 024 | train=0.003791 | val=RMSE:548.24|MAE:489.55|MAPE:15.92% | epoch_time=0.26s
[efficiency_close] Epoch 025 | train=0.003742 | val=RMSE:557.05|MAE:491.71|MAPE:16.05% | epoch_time=0.26s
[efficiency_close] Epoch 026 | train=0.003549 | val=RMSE:517.04|MAE:458.53|MAPE:14.92% | epoch_time=0.26s
[efficiency_close] Epoch 027 | train=0.003360 | val=RMSE:534.80|MAE:475.57|MAPE:15.46% | epoch_time=0.26s
[efficiency_close] Epoch 028 | train=0.002938 | val=RMSE:510.66|MAE:451.25|MAPE:14.71% | epoch_time=0.26s
[efficiency_close] Epoch 029 | train=0.003298 | val=RMSE:573.73|MAE:504.21|MAPE:16.51% | epoch_time=0.26s
[efficiency_close] Epoch 030 | train=0.002812 | val=RMSE:556.17|MAE:493.80|MAPE:16.11% | epoch_time=0.26s
[efficiency_close] Epoch 031 | train=0.002887 | val=RMSE:555.62|MAE:495.37|MAPE:16.14% | epoch_time=0.26s
[efficiency_close] Epoch 032 | train=0.002738 | val=RMSE:515.46|MAE:464.69|MAPE:15.05% | epoch_time=0.26s
[efficiency_close] Epoch 033 | train=0.002884 | val=RMSE:577.62|MAE:511.15|MAPE:16.70% | epoch_time=0.26s
[efficiency_close] Epoch 034 | train=0.002944 | val=RMSE:506.54|MAE:464.85|MAPE:14.94% | epoch_time=0.26s
[efficiency_close] Epoch 035 | train=0.002768 | val=RMSE:573.41|MAE:513.44|MAPE:16.71% | epoch_time=0.26s
[efficiency_close] Epoch 036 | train=0.002532 | val=RMSE:561.45|MAE:499.21|MAPE:16.27% | epoch_time=0.26s
[efficiency_close] Epoch 037 | train=0.002311 | val=RMSE:526.26|MAE:476.03|MAPE:15.41% | epoch_time=0.26s
[efficiency_close] Epoch 038 | train=0.002129 | val=RMSE:564.71|MAE:505.79|MAPE:16.45% | epoch_time=0.26s
[efficiency_close] Epoch 039 | train=0.002136 | val=RMSE:551.71|MAE:495.59|MAPE:16.10% | epoch_time=0.26s
[efficiency_close] Epoch 040 | train=0.002193 | val=RMSE:577.54|MAE:510.39|MAPE:16.68% | epoch_time=0.26s
[efficiency_close] Epoch 041 | train=0.002080 | val=RMSE:581.33|MAE:513.98|MAPE:16.78% | epoch_time=0.26s
[efficiency_close] Epoch 042 | train=0.002232 | val=RMSE:584.51|MAE:514.31|MAPE:16.85% | epoch_time=0.26s
