[train_mean][TFT efficiency] Running on device: cpu
[train_mean][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.030484 | val=RMSE:511.40|MAE:474.17|MAPE:15.31% | epoch_time=0.32s
[efficiency_mean] Epoch 002 | train=0.008824 | val=RMSE:540.61|MAE:485.21|MAPE:15.88% | epoch_time=0.28s
[efficiency_mean] Epoch 003 | train=0.007242 | val=RMSE:507.46|MAE:459.13|MAPE:14.95% | epoch_time=0.35s
[efficiency_mean] Epoch 004 | train=0.007036 | val=RMSE:536.13|MAE:485.95|MAPE:15.83% | epoch_time=0.30s
[efficiency_mean] Epoch 005 | train=0.005964 | val=RMSE:472.60|MAE:433.04|MAPE:14.03% | epoch_time=0.34s
[efficiency_mean] Epoch 006 | train=0.006789 | val=RMSE:556.45|MAE:491.59|MAPE:16.13% | epoch_time=0.38s
[efficiency_mean] Epoch 007 | train=0.005265 | val=RMSE:481.17|MAE:433.59|MAPE:14.04% | epoch_time=0.36s
[efficiency_mean] Epoch 008 | train=0.004418 | val=RMSE:469.07|MAE:422.16|MAPE:13.60% | epoch_time=0.30s
[efficiency_mean] Epoch 009 | train=0.005084 | val=RMSE:514.73|MAE:433.89|MAPE:14.28% | epoch_time=0.30s
[efficiency_mean] Epoch 010 | train=0.004750 | val=RMSE:456.51|MAE:395.45|MAPE:12.83% | epoch_time=0.31s
[efficiency_mean] Epoch 011 | train=0.004215 | val=RMSE:457.10|MAE:397.18|MAPE:12.84% | epoch_time=0.30s
[efficiency_mean] Epoch 012 | train=0.003645 | val=RMSE:563.90|MAE:475.68|MAPE:15.65% | epoch_time=48.73s
[efficiency_mean] Epoch 013 | train=0.003390 | val=RMSE:475.70|MAE:403.22|MAPE:12.97% | epoch_time=0.27s
[efficiency_mean] Epoch 014 | train=0.003661 | val=RMSE:506.73|MAE:442.10|MAPE:14.37% | epoch_time=0.27s
[efficiency_mean] Epoch 015 | train=0.003164 | val=RMSE:482.27|MAE:408.03|MAPE:13.26% | epoch_time=0.27s
[efficiency_mean] Epoch 016 | train=0.002881 | val=RMSE:502.49|MAE:425.41|MAPE:13.92% | epoch_time=0.27s
[efficiency_mean] Epoch 017 | train=0.002703 | val=RMSE:487.96|MAE:414.63|MAPE:13.51% | epoch_time=0.26s
[efficiency_mean] Epoch 018 | train=0.002580 | val=RMSE:462.01|MAE:385.59|MAPE:12.61% | epoch_time=0.26s
[efficiency_mean] Epoch 019 | train=0.002337 | val=RMSE:479.03|MAE:402.14|MAPE:13.17% | epoch_time=0.26s
[efficiency_mean] Epoch 020 | train=0.002094 | val=RMSE:520.05|MAE:441.55|MAPE:14.43% | epoch_time=0.26s
[efficiency_mean] Epoch 021 | train=0.002286 | val=RMSE:490.53|MAE:410.68|MAPE:13.43% | epoch_time=0.26s
[efficiency_mean] Epoch 022 | train=0.002440 | val=RMSE:448.00|MAE:387.73|MAPE:12.50% | epoch_time=0.26s
[efficiency_mean] Epoch 023 | train=0.001865 | val=RMSE:458.81|MAE:395.01|MAPE:12.79% | epoch_time=0.27s
[efficiency_mean] Epoch 024 | train=0.001927 | val=RMSE:526.53|MAE:449.83|MAPE:14.76% | epoch_time=0.26s
[efficiency_mean] Epoch 025 | train=0.001958 | val=RMSE:457.07|MAE:388.28|MAPE:12.63% | epoch_time=0.26s
[efficiency_mean] Epoch 026 | train=0.001952 | val=RMSE:495.06|MAE:416.83|MAPE:13.70% | epoch_time=0.26s
[efficiency_mean] Epoch 027 | train=0.001795 | val=RMSE:483.34|MAE:407.38|MAPE:13.37% | epoch_time=0.26s
[efficiency_mean] Epoch 028 | train=0.001801 | val=RMSE:487.56|MAE:416.92|MAPE:13.60% | epoch_time=0.26s
[efficiency_mean] Epoch 029 | train=0.001711 | val=RMSE:491.03|MAE:418.39|MAPE:13.72% | epoch_time=0.26s
[efficiency_mean] Epoch 030 | train=0.001759 | val=RMSE:490.32|MAE:426.93|MAPE:13.94% | epoch_time=0.26s
[efficiency_mean] Epoch 031 | train=0.001540 | val=RMSE:505.23|MAE:438.27|MAPE:14.31% | epoch_time=0.26s
[efficiency_mean] Epoch 032 | train=0.001556 | val=RMSE:494.39|MAE:432.83|MAPE:14.01% | epoch_time=0.26s
