-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        aten::mkldnn_rnn_layer_backward        47.39%        3.036s        47.79%        3.061s       6.958ms       3.26 GB     -85.71 MB           440  
                                 aten::mkldnn_rnn_layer        14.29%     915.760ms        14.52%     930.144ms       1.722ms      27.55 GB     511.32 MB           540  
                                              aten::cat         9.65%     617.933ms         9.73%     623.541ms     239.823us       3.10 GB       3.10 GB          2600  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         5.85%     374.569ms        53.72%        3.441s       7.821ms     -29.47 GB     -30.18 GB           440  
                                          ProfilerStep*         5.81%     372.106ms       100.00%        6.406s     640.642ms       7.04 MB      -3.12 GB            10  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.21%     141.711ms        12.40%     794.657ms       1.419ms       3.09 GB    -219.53 KB           560  
                               Optimizer.step#Adam.step         2.07%     132.505ms         5.61%     359.408ms     816.837us           0 B      -1.43 GB           440  
                                            aten::copy_         1.47%      94.068ms         1.47%      94.068ms       4.785us           0 B           0 B         19660  
                               aten::linalg_vector_norm         0.97%      62.105ms         1.06%      67.937ms      17.156us      15.45 KB      15.45 KB          3960  
                                             aten::sqrt         0.75%      47.806ms         0.75%      47.806ms      13.581us     731.97 MB     731.97 MB          3520  
                                             aten::mul_         0.65%      41.833ms         0.80%      50.979ms       7.241us        -468 B     -14.21 KB          7040  
                                              aten::div         0.48%      30.695ms         0.67%      42.833ms      12.169us     731.98 MB     731.96 MB          3520  
                                            aten::addmm         0.44%      28.151ms         0.56%      35.635ms      32.995us       4.23 MB       4.23 MB          1080  
                                            aten::lerp_         0.43%      27.630ms         0.43%      27.630ms       7.849us           0 B           0 B          3520  
                                            aten::stack         0.40%      25.841ms        10.49%     672.277ms     258.568us       3.10 GB           0 B          2600  
                                         aten::addcdiv_         0.39%      24.685ms         0.39%      24.685ms       7.013us           0 B           0 B          3520  
                                         aten::_to_copy         0.35%      22.529ms         0.71%      45.269ms       2.858us      61.88 KB       1.13 KB         15840  
