[train_close][LSTM efficiency] Running on device: cpu
[train_close][LSTM efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 001 | train=0.028153 | val=RMSE:1176.85|MAE:1052.37|MAPE:10.37% | epoch_time=0.65s
[efficiency_close] Epoch 002 | train=0.006010 | val=RMSE:1111.27|MAE:1004.30|MAPE:9.91% | epoch_time=0.60s
[efficiency_close] Epoch 003 | train=0.004594 | val=RMSE:1168.17|MAE:1070.39|MAPE:10.58% | epoch_time=0.62s
[efficiency_close] Epoch 004 | train=0.004080 | val=RMSE:1630.99|MAE:1562.82|MAPE:15.54% | epoch_time=0.63s
[efficiency_close] Epoch 005 | train=0.003690 | val=RMSE:1167.31|MAE:1077.17|MAPE:10.65% | epoch_time=0.63s
[efficiency_close] Epoch 006 | train=0.003529 | val=RMSE:1240.75|MAE:1151.39|MAPE:11.40% | epoch_time=0.62s
[efficiency_close] Epoch 007 | train=0.003084 | val=RMSE:1289.88|MAE:1217.75|MAPE:12.08% | epoch_time=0.62s
[efficiency_close] Epoch 008 | train=0.002723 | val=RMSE:1279.11|MAE:1197.29|MAPE:11.87% | epoch_time=0.66s
[efficiency_close] Epoch 009 | train=0.002741 | val=RMSE:1108.79|MAE:1021.79|MAPE:10.10% | epoch_time=0.66s
[efficiency_close] Epoch 010 | train=0.002589 | val=RMSE:1267.51|MAE:1178.57|MAPE:11.67% | epoch_time=0.67s
[efficiency_close] Epoch 011 | train=0.002386 | val=RMSE:1156.90|MAE:1046.01|MAPE:10.33% | epoch_time=0.64s
[efficiency_close] Epoch 012 | train=0.002340 | val=RMSE:1248.60|MAE:1162.37|MAPE:11.51% | epoch_time=25.43s
[efficiency_close] Epoch 013 | train=0.002249 | val=RMSE:1100.69|MAE:1003.63|MAPE:9.91% | epoch_time=0.59s
[efficiency_close] Epoch 014 | train=0.002086 | val=RMSE:1377.52|MAE:1305.76|MAPE:12.96% | epoch_time=0.59s
[efficiency_close] Epoch 015 | train=0.001945 | val=RMSE:1172.73|MAE:1077.64|MAPE:10.66% | epoch_time=0.60s
[efficiency_close] Epoch 016 | train=0.001955 | val=RMSE:1337.01|MAE:1249.90|MAPE:12.38% | epoch_time=0.60s
[efficiency_close] Epoch 017 | train=0.001907 | val=RMSE:1247.99|MAE:1153.27|MAPE:11.41% | epoch_time=0.59s
[efficiency_close] Epoch 018 | train=0.001709 | val=RMSE:1183.26|MAE:1070.09|MAPE:10.57% | epoch_time=0.58s
[efficiency_close] Epoch 019 | train=0.001540 | val=RMSE:1217.67|MAE:1113.02|MAPE:11.00% | epoch_time=0.61s
[efficiency_close] Epoch 020 | train=0.001727 | val=RMSE:1291.69|MAE:1202.22|MAPE:11.91% | epoch_time=0.63s
[efficiency_close] Epoch 021 | train=0.001484 | val=RMSE:1041.02|MAE:941.13|MAPE:9.29% | epoch_time=0.64s
[efficiency_close] Epoch 022 | train=0.001598 | val=RMSE:1172.28|MAE:1076.04|MAPE:10.65% | epoch_time=0.62s
[efficiency_close] Epoch 023 | train=0.001481 | val=RMSE:1193.73|MAE:1099.33|MAPE:10.88% | epoch_time=0.61s
[efficiency_close] Epoch 024 | train=0.001459 | val=RMSE:1256.85|MAE:1170.88|MAPE:11.59% | epoch_time=0.60s
[efficiency_close] Epoch 025 | train=0.001442 | val=RMSE:1164.49|MAE:1064.01|MAPE:10.52% | epoch_time=0.60s
[efficiency_close] Epoch 026 | train=0.001460 | val=RMSE:1037.00|MAE:928.42|MAPE:9.15% | epoch_time=0.60s
[efficiency_close] Epoch 027 | train=0.001257 | val=RMSE:1245.17|MAE:1141.10|MAPE:11.29% | epoch_time=0.58s
