-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        aten::mkldnn_rnn_layer_backward        46.76%        2.959s        47.15%        2.984s       6.781ms       3.26 GB     -82.59 MB           440  
                                 aten::mkldnn_rnn_layer        13.94%     882.145ms        14.17%     896.490ms       1.660ms      27.55 GB     191.81 MB           540  
                                              aten::cat         9.74%     616.543ms         9.83%     621.900ms     239.192us       3.10 GB       3.10 GB          2600  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         6.90%     436.612ms        54.13%        3.425s       7.785ms     -29.47 GB     -30.18 GB           440  
                                          ProfilerStep*         5.75%     364.107ms       100.00%        6.328s     632.793ms       7.04 MB      -3.12 GB            10  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.22%     140.283ms        12.50%     791.187ms       1.413ms       3.09 GB    -219.53 KB           560  
                               Optimizer.step#Adam.step         2.05%     130.024ms         5.48%     346.981ms     788.594us           0 B      -1.43 GB           440  
                                            aten::copy_         1.46%      92.655ms         1.46%      92.655ms       4.713us           0 B           0 B         19660  
                               aten::linalg_vector_norm         0.98%      62.001ms         1.07%      67.735ms      17.105us      15.44 KB      15.44 KB          3960  
                                             aten::sqrt         0.68%      43.193ms         0.68%      43.193ms      12.271us     731.97 MB     731.97 MB          3520  
                                             aten::mul_         0.66%      41.621ms         0.80%      50.378ms       7.156us        -576 B     -14.31 KB          7040  
                                              aten::div         0.46%      28.887ms         0.63%      40.085ms      11.388us     731.98 MB     731.96 MB          3520  
                                            aten::addmm         0.45%      28.579ms         0.57%      35.944ms      33.282us       4.23 MB       4.23 MB          1080  
                                            aten::lerp_         0.44%      28.112ms         0.44%      28.112ms       7.986us           0 B           0 B          3520  
                                            aten::stack         0.40%      25.086ms        10.58%     669.340ms     257.438us       3.10 GB           0 B          2600  
                                         aten::addcdiv_         0.39%      24.422ms         0.39%      24.422ms       6.938us           0 B           0 B          3520  
                                         aten::_to_copy         0.34%      21.261ms         0.67%      42.439ms       2.679us      61.88 KB       1.64 KB         15840  
