-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        aten::mkldnn_rnn_layer_backward        48.05%        2.995s        48.44%        3.020s       6.863ms       3.26 GB     -82.58 MB           440  
                                 aten::mkldnn_rnn_layer        14.60%     910.047ms        14.80%     922.421ms       1.708ms      27.55 GB     383.40 MB           540  
                                              aten::cat         9.94%     619.864ms        10.02%     624.590ms     240.227us       3.10 GB       3.10 GB          2600  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         5.58%     347.987ms        54.10%        3.372s       7.664ms     -29.47 GB     -30.18 GB           440  
                                          ProfilerStep*         5.39%     335.649ms       100.00%        6.233s     623.297ms       7.04 MB      -3.12 GB            10  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.09%     130.280ms        12.57%     783.721ms       1.400ms       3.09 GB    -219.53 KB           560  
                               Optimizer.step#Adam.step         1.95%     121.474ms         5.43%     338.721ms     769.821us           0 B      -1.43 GB           440  
                                            aten::copy_         1.41%      87.791ms         1.41%      87.791ms       4.465us           0 B           0 B         19660  
                               aten::linalg_vector_norm         0.96%      60.138ms         1.05%      65.589ms      16.563us      15.46 KB      15.46 KB          3960  
                                             aten::sqrt         0.72%      44.645ms         0.72%      44.645ms      12.683us     731.97 MB     731.97 MB          3520  
                                             aten::mul_         0.64%      39.913ms         0.79%      48.939ms       6.952us         596 B     -13.17 KB          7040  
                                              aten::div         0.51%      31.938ms         0.70%      43.572ms      12.378us     731.98 MB     731.96 MB          3520  
                                            aten::addmm         0.42%      26.014ms         0.53%      33.243ms      30.781us       4.23 MB       4.23 MB          1080  
                                            aten::stack         0.40%      24.725ms        10.78%     671.736ms     258.360us       3.10 GB           0 B          2600  
                                            aten::lerp_         0.40%      24.695ms         0.40%      24.695ms       7.016us           0 B           0 B          3520  
                                         aten::addcdiv_         0.37%      22.934ms         0.37%      22.934ms       6.515us           0 B           0 B          3520  
                                         aten::_to_copy         0.35%      22.063ms         0.71%      44.292ms       2.796us      61.88 KB       1.22 KB         15840  
