-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        aten::mkldnn_rnn_layer_backward        47.83%        2.977s        48.21%        3.000s       6.819ms       3.26 GB     -85.58 MB           440  
                                 aten::mkldnn_rnn_layer        14.48%     901.049ms        14.69%     913.928ms       1.692ms      27.55 GB     255.77 MB           540  
                                              aten::cat         9.94%     618.428ms        10.02%     623.661ms     239.869us       3.10 GB       3.10 GB          2600  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         5.80%     360.976ms        54.09%        3.366s       7.650ms     -29.47 GB     -30.18 GB           440  
                                          ProfilerStep*         5.41%     336.682ms       100.00%        6.223s     622.301ms       7.04 MB      -3.12 GB            10  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.08%     129.580ms        12.58%     782.736ms       1.398ms       3.09 GB    -219.53 KB           560  
                               Optimizer.step#Adam.step         1.97%     122.697ms         5.54%     344.891ms     783.844us           0 B      -1.43 GB           440  
                                            aten::copy_         1.40%      86.987ms         1.40%      86.987ms       4.425us           0 B           0 B         19660  
                               aten::linalg_vector_norm         0.97%      60.326ms         1.06%      65.908ms      16.643us      15.46 KB      15.46 KB          3960  
                                             aten::sqrt         0.80%      49.565ms         0.80%      49.565ms      14.081us     731.97 MB     731.97 MB          3520  
                                             aten::mul_         0.65%      40.421ms         0.80%      49.693ms       7.059us         -92 B     -13.84 KB          7040  
                                              aten::div         0.50%      30.895ms         0.68%      42.588ms      12.099us     731.98 MB     731.96 MB          3520  
                                            aten::addmm         0.41%      25.625ms         0.53%      32.790ms      30.361us       4.23 MB       4.23 MB          1080  
                                            aten::lerp_         0.41%      25.269ms         0.41%      25.269ms       7.179us           0 B           0 B          3520  
                                            aten::stack         0.40%      24.592ms        10.78%     670.610ms     257.927us       3.10 GB           0 B          2600  
                                         aten::addcdiv_         0.38%      23.477ms         0.38%      23.477ms       6.670us           0 B           0 B          3520  
                                         aten::_to_copy         0.35%      21.571ms         0.70%      43.676ms       2.757us      61.88 KB       1.58 KB         15840  
