-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::bernoulli_        22.36%        1.680s        22.36%        1.680s     477.343us           0 B           0 B          3520  
                             aten::convolution_backward        18.20%        1.368s        18.86%        1.417s     357.900us       1.72 GB       4.29 MB          3960  
                               aten::mkldnn_convolution        14.82%        1.114s        15.13%        1.138s     234.057us       1.10 GB       3.38 MB          4860  
                                          ProfilerStep*         7.68%     577.101ms       100.00%        7.516s     751.587ms       7.29 MB      -6.87 GB            10  
                                              aten::cat         7.22%     542.860ms         7.27%     546.620ms     359.618us       3.09 GB       3.09 GB          1520  
                                            aten::copy_         3.95%     297.189ms         3.95%     297.189ms       5.848us           0 B           0 B         50820  
                               Optimizer.step#Adam.step         2.76%     207.129ms         8.01%     601.930ms       1.368ms           0 B      -1.64 GB           440  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         1.72%     129.187ms         9.41%     707.441ms       1.263ms       3.09 GB    -219.53 KB           560  
                                              aten::mul         1.67%     125.286ms         1.68%     126.412ms      16.900us       1.61 GB       1.61 GB          7480  
                                            aten::fill_         1.26%      94.710ms         1.26%      94.710ms      13.608us           0 B           0 B          6960  
                                        aten::clamp_min         1.12%      84.029ms         1.12%      84.029ms      19.451us     999.61 MB     999.61 MB          4320  
                                             aten::mul_         1.09%      81.572ms         1.36%     102.157ms       5.804us      -1.56 KB     -35.94 KB         17600  
                               aten::linalg_vector_norm         0.94%      70.293ms         1.01%      75.763ms       8.199us      36.02 KB      36.02 KB          9240  
                               aten::threshold_backward         0.86%      64.685ms         0.86%      64.685ms      18.376us     823.24 MB     823.24 MB          3520  
                                             aten::div_         0.80%      60.453ms         1.08%      81.136ms      20.489us       3.59 KB     -11.88 KB          3960  
                                            aten::lerp_         0.74%      55.518ms         0.74%      55.518ms       6.309us           0 B           0 B          8800  
                                              aten::div         0.72%      54.011ms         1.04%      77.846ms       8.846us     841.98 MB     841.95 MB          8800  
                                         aten::addcdiv_         0.67%      50.191ms         0.67%      50.191ms       5.703us           0 B           0 B          8800  
