[train_mean][TCN efficiency] Running on device: cpu
[train_mean][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.384581 | val=RMSE:619.25|MAE:533.50|MAPE:36.15% | epoch_time=0.77s
[efficiency_mean] Epoch 002 | train=0.024568 | val=RMSE:316.96|MAE:269.73|MAPE:18.40% | epoch_time=0.75s
[efficiency_mean] Epoch 003 | train=0.010277 | val=RMSE:158.28|MAE:128.15|MAPE:8.68% | epoch_time=0.82s
[efficiency_mean] Epoch 004 | train=0.006312 | val=RMSE:223.41|MAE:190.74|MAPE:12.82% | epoch_time=0.81s
[efficiency_mean] Epoch 005 | train=0.002849 | val=RMSE:255.07|MAE:228.44|MAPE:15.31% | epoch_time=0.81s
[efficiency_mean] Epoch 006 | train=0.002261 | val=RMSE:218.89|MAE:189.51|MAPE:12.65% | epoch_time=0.81s
[efficiency_mean] Epoch 007 | train=0.001238 | val=RMSE:223.89|MAE:207.03|MAPE:14.11% | epoch_time=0.81s
[efficiency_mean] Epoch 008 | train=0.001051 | val=RMSE:148.09|MAE:123.21|MAPE:8.28% | epoch_time=0.82s
[efficiency_mean] Epoch 009 | train=0.001022 | val=RMSE:146.37|MAE:124.37|MAPE:8.36% | epoch_time=0.83s
[efficiency_mean] Epoch 010 | train=0.000788 | val=RMSE:133.86|MAE:111.78|MAPE:7.53% | epoch_time=0.82s
[efficiency_mean] Epoch 011 | train=0.000633 | val=RMSE:129.08|MAE:105.37|MAPE:7.10% | epoch_time=0.82s
[efficiency_mean] Epoch 012 | train=0.000656 | val=RMSE:143.27|MAE:117.72|MAPE:7.83% | epoch_time=61.30s
[efficiency_mean] Epoch 013 | train=0.000641 | val=RMSE:205.66|MAE:182.63|MAPE:12.23% | epoch_time=0.76s
[efficiency_mean] Epoch 014 | train=0.000660 | val=RMSE:188.95|MAE:170.94|MAPE:11.51% | epoch_time=0.76s
[efficiency_mean] Epoch 015 | train=0.000532 | val=RMSE:180.02|MAE:153.09|MAPE:10.18% | epoch_time=0.77s
[efficiency_mean] Epoch 016 | train=0.000476 | val=RMSE:188.14|MAE:161.72|MAPE:10.76% | epoch_time=0.79s
[efficiency_mean] Epoch 017 | train=0.000522 | val=RMSE:139.54|MAE:116.54|MAPE:7.79% | epoch_time=0.84s
[efficiency_mean] Epoch 018 | train=0.000595 | val=RMSE:155.22|MAE:130.23|MAPE:8.68% | epoch_time=0.84s
[efficiency_mean] Epoch 019 | train=0.000535 | val=RMSE:149.86|MAE:125.29|MAPE:8.35% | epoch_time=0.81s
[efficiency_mean] Epoch 020 | train=0.000510 | val=RMSE:170.96|MAE:145.39|MAPE:9.71% | epoch_time=0.81s
[efficiency_mean] Epoch 021 | train=0.000384 | val=RMSE:165.16|MAE:143.86|MAPE:9.66% | epoch_time=0.81s
[efficiency_mean] Epoch 022 | train=0.000538 | val=RMSE:178.66|MAE:152.98|MAPE:10.17% | epoch_time=0.83s
[efficiency_mean] Epoch 023 | train=0.000327 | val=RMSE:159.56|MAE:137.55|MAPE:9.21% | epoch_time=0.82s
[efficiency_mean] Epoch 024 | train=0.000361 | val=RMSE:172.16|MAE:150.31|MAPE:10.09% | epoch_time=0.82s
[efficiency_mean] Epoch 025 | train=0.000438 | val=RMSE:145.58|MAE:124.43|MAPE:8.35% | epoch_time=0.82s
[efficiency_mean] Epoch 026 | train=0.000323 | val=RMSE:141.34|MAE:120.35|MAPE:8.07% | epoch_time=0.83s
[efficiency_mean] Epoch 027 | train=0.000320 | val=RMSE:161.95|MAE:140.28|MAPE:9.38% | epoch_time=0.82s
[efficiency_mean] Epoch 028 | train=0.000308 | val=RMSE:128.30|MAE:105.43|MAPE:7.02% | epoch_time=0.82s
[efficiency_mean] Epoch 029 | train=0.000345 | val=RMSE:121.61|MAE:100.36|MAPE:6.74% | epoch_time=0.83s
