-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::bernoulli_        22.32%        1.675s        22.32%        1.675s     475.906us           0 B           0 B          3520  
                             aten::convolution_backward        18.23%        1.369s        18.90%        1.419s     358.211us       1.72 GB       1.69 MB          3960  
                               aten::mkldnn_convolution        14.86%        1.115s        15.16%        1.138s     234.222us       1.10 GB     960.00 KB          4860  
                                          ProfilerStep*         7.65%     573.974ms       100.00%        7.507s     750.681ms       7.29 MB      -6.87 GB            10  
                                              aten::cat         7.25%     544.372ms         7.30%     548.183ms     360.647us       3.09 GB       3.09 GB          1520  
                                            aten::copy_         3.97%     298.082ms         3.97%     298.082ms       5.865us           0 B           0 B         50820  
                               Optimizer.step#Adam.step         2.75%     206.652ms         8.00%     600.621ms       1.365ms           0 B      -1.64 GB           440  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         1.72%     129.156ms         9.44%     708.889ms       1.266ms       3.09 GB    -219.53 KB           560  
                                              aten::mul         1.66%     124.765ms         1.68%     125.878ms      16.829us       1.61 GB       1.61 GB          7480  
                                            aten::fill_         1.27%      95.208ms         1.27%      95.208ms      13.679us           0 B           0 B          6960  
                                        aten::clamp_min         1.12%      84.282ms         1.12%      84.282ms      19.510us     999.61 MB     999.61 MB          4320  
                                             aten::mul_         1.09%      82.043ms         1.37%     102.912ms       5.847us        -944 B     -35.30 KB         17600  
                               aten::linalg_vector_norm         0.93%      70.033ms         1.01%      75.566ms       8.178us      36.04 KB      36.04 KB          9240  
                               aten::threshold_backward         0.85%      63.773ms         0.85%      63.773ms      18.117us     823.24 MB     823.24 MB          3520  
                                             aten::div_         0.80%      59.899ms         1.07%      80.430ms      20.311us       3.28 KB     -12.19 KB          3960  
                                            aten::lerp_         0.73%      54.542ms         0.73%      54.542ms       6.198us           0 B           0 B          8800  
                                              aten::div         0.71%      53.433ms         1.03%      77.361ms       8.791us     841.98 MB     841.95 MB          8800  
                                         aten::addcdiv_         0.66%      49.789ms         0.66%      49.789ms       5.658us           0 B           0 B          8800  
