[train_mean][TCN efficiency] Running on device: cpu
[train_mean][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.182454 | val=RMSE:932.18|MAE:773.32|MAPE:6.83% | epoch_time=0.78s
[efficiency_mean] Epoch 002 | train=0.015127 | val=RMSE:731.78|MAE:634.27|MAPE:5.59% | epoch_time=0.76s
[efficiency_mean] Epoch 003 | train=0.007302 | val=RMSE:438.91|MAE:348.59|MAPE:3.09% | epoch_time=0.83s
[efficiency_mean] Epoch 004 | train=0.003649 | val=RMSE:399.72|MAE:306.75|MAPE:2.73% | epoch_time=0.83s
[efficiency_mean] Epoch 005 | train=0.002749 | val=RMSE:544.48|MAE:449.18|MAPE:3.93% | epoch_time=0.82s
[efficiency_mean] Epoch 006 | train=0.001991 | val=RMSE:561.50|MAE:459.43|MAPE:4.02% | epoch_time=0.83s
[efficiency_mean] Epoch 007 | train=0.001353 | val=RMSE:465.98|MAE:358.22|MAPE:3.13% | epoch_time=0.82s
[efficiency_mean] Epoch 008 | train=0.001462 | val=RMSE:559.76|MAE:452.80|MAPE:3.96% | epoch_time=0.84s
[efficiency_mean] Epoch 009 | train=0.001269 | val=RMSE:378.66|MAE:291.51|MAPE:2.57% | epoch_time=0.83s
[efficiency_mean] Epoch 010 | train=0.001007 | val=RMSE:483.24|MAE:390.67|MAPE:3.42% | epoch_time=0.83s
[efficiency_mean] Epoch 011 | train=0.000854 | val=RMSE:496.18|MAE:398.38|MAPE:3.48% | epoch_time=0.83s
[efficiency_mean] Epoch 012 | train=0.000710 | val=RMSE:460.11|MAE:365.17|MAPE:3.20% | epoch_time=62.14s
[efficiency_mean] Epoch 013 | train=0.000780 | val=RMSE:502.87|MAE:405.32|MAPE:3.55% | epoch_time=0.79s
[efficiency_mean] Epoch 014 | train=0.000769 | val=RMSE:490.68|MAE:401.36|MAPE:3.52% | epoch_time=0.77s
[efficiency_mean] Epoch 015 | train=0.000580 | val=RMSE:482.55|MAE:395.81|MAPE:3.47% | epoch_time=0.79s
[efficiency_mean] Epoch 016 | train=0.000642 | val=RMSE:428.96|MAE:335.94|MAPE:2.95% | epoch_time=0.80s
[efficiency_mean] Epoch 017 | train=0.000590 | val=RMSE:404.26|MAE:321.67|MAPE:2.83% | epoch_time=0.80s
[efficiency_mean] Epoch 018 | train=0.000813 | val=RMSE:475.89|MAE:379.90|MAPE:3.33% | epoch_time=0.81s
[efficiency_mean] Epoch 019 | train=0.000671 | val=RMSE:506.89|MAE:411.12|MAPE:3.60% | epoch_time=0.81s
[efficiency_mean] Epoch 020 | train=0.000602 | val=RMSE:511.77|MAE:418.92|MAPE:3.67% | epoch_time=0.81s
[efficiency_mean] Epoch 021 | train=0.000492 | val=RMSE:403.50|MAE:319.07|MAPE:2.81% | epoch_time=0.80s
