-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::bernoulli_        21.96%        1.831s        21.96%        1.831s     520.255us           0 B           0 B          3520  
                             aten::convolution_backward        18.64%        1.554s        19.32%        1.611s     406.889us       1.72 GB     775.75 KB          3960  
                               aten::mkldnn_convolution        14.92%        1.244s        15.23%        1.269s     261.209us       1.10 GB       1.88 MB          4860  
                                          ProfilerStep*         8.00%     667.220ms       100.00%        8.338s     833.792ms       7.29 MB      -6.87 GB            10  
                                              aten::cat         6.77%     564.733ms         6.82%     568.766ms     374.188us       3.09 GB       3.09 GB          1520  
                                            aten::copy_         3.85%     321.249ms         3.85%     321.249ms       6.321us           0 B           0 B         50820  
                               Optimizer.step#Adam.step         2.79%     232.762ms         7.95%     662.768ms       1.506ms           0 B      -1.64 GB           440  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         1.80%     149.778ms         9.03%     753.018ms       1.345ms       3.09 GB    -219.53 KB           560  
                                              aten::mul         1.63%     135.662ms         1.64%     136.938ms      18.307us       1.61 GB       1.61 GB          7480  
                                            aten::fill_         1.32%     110.176ms         1.32%     110.176ms      15.830us           0 B           0 B          6960  
                                        aten::clamp_min         1.09%      90.730ms         1.09%      90.730ms      21.002us     999.61 MB     999.61 MB          4320  
                                             aten::mul_         1.05%      87.141ms         1.31%     109.521ms       6.223us        -788 B     -35.14 KB         17600  
                               aten::linalg_vector_norm         0.91%      75.727ms         0.98%      81.831ms       8.856us      36.07 KB      36.07 KB          9240  
                               aten::threshold_backward         0.85%      71.177ms         0.85%      71.177ms      20.221us     823.24 MB     823.24 MB          3520  
                                             aten::div_         0.78%      65.372ms         1.06%      88.457ms      22.338us       2.88 KB     -12.59 KB          3960  
                                            aten::lerp_         0.71%      58.883ms         0.71%      58.883ms       6.691us           0 B           0 B          8800  
                                              aten::div         0.70%      58.173ms         1.02%      85.273ms       9.690us     841.98 MB     841.95 MB          8800  
                                         aten::addcdiv_         0.66%      54.732ms         0.66%      54.732ms       6.220us           0 B           0 B          8800  
