[train_mean][TCN efficiency] Running on device: cpu
[train_mean][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.335473 | val=RMSE:393.42|MAE:329.33|MAPE:10.48% | epoch_time=0.78s
[efficiency_mean] Epoch 002 | train=0.034054 | val=RMSE:292.74|MAE:245.82|MAPE:7.47% | epoch_time=0.76s
[efficiency_mean] Epoch 003 | train=0.012637 | val=RMSE:372.69|MAE:329.92|MAPE:10.67% | epoch_time=0.83s
[efficiency_mean] Epoch 004 | train=0.008642 | val=RMSE:280.65|MAE:235.97|MAPE:7.19% | epoch_time=0.83s
[efficiency_mean] Epoch 005 | train=0.004394 | val=RMSE:262.05|MAE:232.93|MAPE:7.37% | epoch_time=0.83s
[efficiency_mean] Epoch 006 | train=0.002279 | val=RMSE:314.31|MAE:280.47|MAPE:9.13% | epoch_time=0.84s
[efficiency_mean] Epoch 007 | train=0.001742 | val=RMSE:303.04|MAE:271.90|MAPE:8.83% | epoch_time=0.83s
[efficiency_mean] Epoch 008 | train=0.001412 | val=RMSE:259.02|MAE:238.72|MAPE:7.62% | epoch_time=0.84s
[efficiency_mean] Epoch 009 | train=0.001173 | val=RMSE:282.70|MAE:255.76|MAPE:8.29% | epoch_time=0.84s
[efficiency_mean] Epoch 010 | train=0.001363 | val=RMSE:321.38|MAE:286.26|MAPE:9.35% | epoch_time=0.83s
[efficiency_mean] Epoch 011 | train=0.001295 | val=RMSE:291.59|MAE:268.92|MAPE:8.65% | epoch_time=0.83s
[efficiency_mean] Epoch 012 | train=0.001308 | val=RMSE:272.11|MAE:248.02|MAPE:7.99% | epoch_time=62.00s
[efficiency_mean] Epoch 013 | train=0.001456 | val=RMSE:314.90|MAE:288.22|MAPE:9.34% | epoch_time=0.78s
[efficiency_mean] Epoch 014 | train=0.000907 | val=RMSE:285.56|MAE:264.55|MAPE:8.51% | epoch_time=0.77s
[efficiency_mean] Epoch 015 | train=0.000629 | val=RMSE:294.21|MAE:264.87|MAPE:8.62% | epoch_time=0.78s
[efficiency_mean] Epoch 016 | train=0.000849 | val=RMSE:294.71|MAE:271.11|MAPE:8.75% | epoch_time=0.79s
[efficiency_mean] Epoch 017 | train=0.000620 | val=RMSE:283.40|MAE:259.59|MAPE:8.40% | epoch_time=0.81s
[efficiency_mean] Epoch 018 | train=0.000575 | val=RMSE:282.49|MAE:257.66|MAPE:8.34% | epoch_time=0.82s
[efficiency_mean] Epoch 019 | train=0.000569 | val=RMSE:278.25|MAE:260.23|MAPE:8.31% | epoch_time=0.81s
[efficiency_mean] Epoch 020 | train=0.000838 | val=RMSE:246.70|MAE:225.69|MAPE:7.26% | epoch_time=0.81s
[efficiency_mean] Epoch 021 | train=0.000687 | val=RMSE:285.78|MAE:263.33|MAPE:8.49% | epoch_time=0.81s
[efficiency_mean] Epoch 022 | train=0.000741 | val=RMSE:260.96|MAE:239.18|MAPE:7.72% | epoch_time=0.82s
