[train_mean][TFT efficiency] Running on device: cpu
[train_mean][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.064117 | val=RMSE:295.11|MAE:251.15|MAPE:4.99% | epoch_time=0.34s
[efficiency_mean] Epoch 002 | train=0.014043 | val=RMSE:299.78|MAE:252.93|MAPE:5.15% | epoch_time=0.27s
[efficiency_mean] Epoch 003 | train=0.010863 | val=RMSE:399.20|MAE:340.03|MAPE:6.92% | epoch_time=0.37s
[efficiency_mean] Epoch 004 | train=0.009139 | val=RMSE:368.32|MAE:314.88|MAPE:6.39% | epoch_time=0.37s
[efficiency_mean] Epoch 005 | train=0.007891 | val=RMSE:369.95|MAE:313.07|MAPE:6.37% | epoch_time=0.32s
[efficiency_mean] Epoch 006 | train=0.007616 | val=RMSE:508.53|MAE:445.35|MAPE:9.01% | epoch_time=0.30s
[efficiency_mean] Epoch 007 | train=0.007186 | val=RMSE:453.56|MAE:388.10|MAPE:7.90% | epoch_time=0.30s
[efficiency_mean] Epoch 008 | train=0.006727 | val=RMSE:475.05|MAE:415.97|MAPE:8.45% | epoch_time=0.30s
[efficiency_mean] Epoch 009 | train=0.006339 | val=RMSE:456.60|MAE:398.31|MAPE:8.11% | epoch_time=0.30s
[efficiency_mean] Epoch 010 | train=0.006817 | val=RMSE:694.26|MAE:645.41|MAPE:13.01% | epoch_time=0.30s
[efficiency_mean] Epoch 011 | train=0.006040 | val=RMSE:443.95|MAE:384.79|MAPE:7.85% | epoch_time=0.30s
[efficiency_mean] Epoch 012 | train=0.005268 | val=RMSE:593.26|MAE:539.42|MAPE:10.91% | epoch_time=48.78s
[efficiency_mean] Epoch 013 | train=0.005258 | val=RMSE:475.51|MAE:419.65|MAPE:8.55% | epoch_time=0.26s
[efficiency_mean] Epoch 014 | train=0.004869 | val=RMSE:363.39|MAE:304.99|MAPE:6.26% | epoch_time=0.26s
[efficiency_mean] Epoch 015 | train=0.004664 | val=RMSE:571.56|MAE:515.05|MAPE:10.42% | epoch_time=0.26s
[efficiency_mean] Epoch 016 | train=0.004296 | val=RMSE:556.65|MAE:507.93|MAPE:10.31% | epoch_time=0.26s
[efficiency_mean] Epoch 017 | train=0.004063 | val=RMSE:501.58|MAE:456.18|MAPE:9.29% | epoch_time=0.26s
[efficiency_mean] Epoch 018 | train=0.004244 | val=RMSE:431.94|MAE:369.87|MAPE:7.50% | epoch_time=0.26s
[efficiency_mean] Epoch 019 | train=0.003988 | val=RMSE:516.34|MAE:470.89|MAPE:9.57% | epoch_time=0.26s
