[train_close][TFT efficiency] Running on device: cpu
[train_close][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 001 | train=0.043032 | val=RMSE:761.78|MAE:571.85|MAPE:4.94% | epoch_time=0.31s
[efficiency_close] Epoch 002 | train=0.011630 | val=RMSE:945.24|MAE:787.08|MAPE:6.84% | epoch_time=0.27s
[efficiency_close] Epoch 003 | train=0.010418 | val=RMSE:699.53|MAE:529.28|MAPE:4.59% | epoch_time=0.37s
[efficiency_close] Epoch 004 | train=0.008679 | val=RMSE:792.19|MAE:604.12|MAPE:5.21% | epoch_time=0.32s
[efficiency_close] Epoch 005 | train=0.007575 | val=RMSE:713.73|MAE:542.13|MAPE:4.69% | epoch_time=0.31s
[efficiency_close] Epoch 006 | train=0.006800 | val=RMSE:912.52|MAE:754.39|MAPE:6.54% | epoch_time=0.31s
[efficiency_close] Epoch 007 | train=0.005879 | val=RMSE:951.24|MAE:784.86|MAPE:6.80% | epoch_time=0.31s
[efficiency_close] Epoch 008 | train=0.006025 | val=RMSE:833.66|MAE:697.37|MAPE:6.11% | epoch_time=0.31s
[efficiency_close] Epoch 009 | train=0.005801 | val=RMSE:926.66|MAE:746.26|MAPE:6.53% | epoch_time=0.31s
[efficiency_close] Epoch 010 | train=0.005469 | val=RMSE:891.74|MAE:755.72|MAPE:6.64% | epoch_time=0.31s
[efficiency_close] Epoch 011 | train=0.005257 | val=RMSE:1313.50|MAE:1163.12|MAPE:10.37% | epoch_time=0.31s
[efficiency_close] Epoch 012 | train=0.004506 | val=RMSE:969.44|MAE:833.82|MAPE:7.35% | epoch_time=48.97s
[efficiency_close] Epoch 013 | train=0.004181 | val=RMSE:1324.54|MAE:1184.06|MAPE:10.49% | epoch_time=0.27s
[efficiency_close] Epoch 014 | train=0.003985 | val=RMSE:979.83|MAE:783.83|MAPE:6.77% | epoch_time=0.26s
[efficiency_close] Epoch 015 | train=0.003801 | val=RMSE:737.60|MAE:553.78|MAPE:4.79% | epoch_time=0.26s
[efficiency_close] Epoch 016 | train=0.003694 | val=RMSE:814.52|MAE:618.31|MAPE:5.33% | epoch_time=0.26s
[efficiency_close] Epoch 017 | train=0.003636 | val=RMSE:895.26|MAE:684.01|MAPE:5.94% | epoch_time=0.26s
[efficiency_close] Epoch 018 | train=0.003471 | val=RMSE:919.16|MAE:723.78|MAPE:6.27% | epoch_time=0.26s
[efficiency_close] Epoch 019 | train=0.003139 | val=RMSE:938.05|MAE:729.48|MAPE:6.28% | epoch_time=0.26s
[efficiency_close] Epoch 020 | train=0.002942 | val=RMSE:836.12|MAE:626.95|MAPE:5.39% | epoch_time=0.26s
[efficiency_close] Epoch 021 | train=0.002840 | val=RMSE:853.32|MAE:649.13|MAPE:5.59% | epoch_time=0.26s
[efficiency_close] Epoch 022 | train=0.002782 | val=RMSE:1057.36|MAE:878.03|MAPE:7.61% | epoch_time=0.26s
[efficiency_close] Epoch 023 | train=0.002759 | val=RMSE:928.15|MAE:730.34|MAPE:6.30% | epoch_time=0.26s
[efficiency_close] Epoch 024 | train=0.002319 | val=RMSE:785.58|MAE:597.05|MAPE:5.15% | epoch_time=0.26s
[efficiency_close] Epoch 025 | train=0.002430 | val=RMSE:901.44|MAE:700.32|MAPE:6.03% | epoch_time=0.26s
[efficiency_close] Epoch 026 | train=0.002286 | val=RMSE:814.22|MAE:620.38|MAPE:5.35% | epoch_time=0.26s
[efficiency_close] Epoch 027 | train=0.002215 | val=RMSE:831.49|MAE:634.51|MAPE:5.47% | epoch_time=0.26s
[efficiency_close] Epoch 028 | train=0.002223 | val=RMSE:842.62|MAE:636.88|MAPE:5.49% | epoch_time=0.26s
[efficiency_close] Epoch 029 | train=0.001992 | val=RMSE:827.44|MAE:624.66|MAPE:5.38% | epoch_time=0.26s
[efficiency_close] Epoch 030 | train=0.002129 | val=RMSE:765.98|MAE:587.26|MAPE:5.10% | epoch_time=0.26s
[efficiency_close] Epoch 031 | train=0.001998 | val=RMSE:786.12|MAE:597.07|MAPE:5.16% | epoch_time=0.26s
[efficiency_close] Epoch 032 | train=0.002121 | val=RMSE:806.87|MAE:622.40|MAPE:5.38% | epoch_time=0.26s
[efficiency_close] Epoch 033 | train=0.001912 | val=RMSE:892.31|MAE:686.91|MAPE:5.92% | epoch_time=0.26s
