[train_mean][TFT efficiency] Running on device: cpu
[train_mean][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 001 | train=0.025809 | val=RMSE:791.53|MAE:600.29|MAPE:5.19% | epoch_time=0.31s
[efficiency_mean] Epoch 002 | train=0.008741 | val=RMSE:921.31|MAE:769.26|MAPE:6.71% | epoch_time=0.27s
[efficiency_mean] Epoch 003 | train=0.008796 | val=RMSE:757.98|MAE:597.36|MAPE:5.23% | epoch_time=0.33s
[efficiency_mean] Epoch 004 | train=0.007075 | val=RMSE:781.60|MAE:606.46|MAPE:5.26% | epoch_time=0.30s
[efficiency_mean] Epoch 005 | train=0.005638 | val=RMSE:811.88|MAE:622.08|MAPE:5.41% | epoch_time=0.31s
[efficiency_mean] Epoch 006 | train=0.004885 | val=RMSE:962.16|MAE:771.76|MAPE:6.70% | epoch_time=0.36s
[efficiency_mean] Epoch 007 | train=0.005089 | val=RMSE:917.85|MAE:716.55|MAPE:6.21% | epoch_time=0.35s
[efficiency_mean] Epoch 008 | train=0.003897 | val=RMSE:907.59|MAE:702.05|MAPE:6.08% | epoch_time=0.30s
[efficiency_mean] Epoch 009 | train=0.004191 | val=RMSE:839.04|MAE:646.30|MAPE:5.61% | epoch_time=0.30s
[efficiency_mean] Epoch 010 | train=0.003925 | val=RMSE:1008.59|MAE:805.26|MAPE:6.98% | epoch_time=0.30s
[efficiency_mean] Epoch 011 | train=0.003472 | val=RMSE:878.52|MAE:682.86|MAPE:5.92% | epoch_time=0.30s
[efficiency_mean] Epoch 012 | train=0.003468 | val=RMSE:895.44|MAE:687.87|MAPE:5.96% | epoch_time=48.95s
[efficiency_mean] Epoch 013 | train=0.003756 | val=RMSE:685.25|MAE:517.93|MAPE:4.53% | epoch_time=0.26s
[efficiency_mean] Epoch 014 | train=0.003438 | val=RMSE:949.57|MAE:764.63|MAPE:6.64% | epoch_time=0.26s
[efficiency_mean] Epoch 015 | train=0.002632 | val=RMSE:775.39|MAE:584.98|MAPE:5.08% | epoch_time=0.26s
[efficiency_mean] Epoch 016 | train=0.002639 | val=RMSE:843.96|MAE:646.37|MAPE:5.60% | epoch_time=0.26s
[efficiency_mean] Epoch 017 | train=0.002309 | val=RMSE:909.22|MAE:715.55|MAPE:6.21% | epoch_time=0.26s
[efficiency_mean] Epoch 018 | train=0.002644 | val=RMSE:794.82|MAE:598.85|MAPE:5.18% | epoch_time=0.26s
[efficiency_mean] Epoch 019 | train=0.002304 | val=RMSE:830.61|MAE:633.65|MAPE:5.49% | epoch_time=0.26s
[efficiency_mean] Epoch 020 | train=0.002351 | val=RMSE:841.90|MAE:653.55|MAPE:5.66% | epoch_time=0.26s
[efficiency_mean] Epoch 021 | train=0.001996 | val=RMSE:774.23|MAE:594.86|MAPE:5.16% | epoch_time=0.26s
[efficiency_mean] Epoch 022 | train=0.001984 | val=RMSE:804.57|MAE:611.87|MAPE:5.30% | epoch_time=0.26s
[efficiency_mean] Epoch 023 | train=0.001841 | val=RMSE:829.46|MAE:633.43|MAPE:5.49% | epoch_time=0.26s
[efficiency_mean] Epoch 024 | train=0.001872 | val=RMSE:909.62|MAE:709.07|MAPE:6.14% | epoch_time=0.26s
[efficiency_mean] Epoch 025 | train=0.001752 | val=RMSE:776.45|MAE:592.90|MAPE:5.15% | epoch_time=0.26s
[efficiency_mean] Epoch 026 | train=0.001858 | val=RMSE:877.45|MAE:686.56|MAPE:5.95% | epoch_time=0.26s
[efficiency_mean] Epoch 027 | train=0.001934 | val=RMSE:911.69|MAE:708.57|MAPE:6.13% | epoch_time=0.26s
[efficiency_mean] Epoch 028 | train=0.001862 | val=RMSE:923.24|MAE:713.99|MAPE:6.18% | epoch_time=0.26s
[efficiency_mean] Epoch 029 | train=0.001697 | val=RMSE:826.14|MAE:637.06|MAPE:5.52% | epoch_time=0.26s
[efficiency_mean] Epoch 030 | train=0.001749 | val=RMSE:893.71|MAE:684.67|MAPE:5.92% | epoch_time=0.26s
[efficiency_mean] Epoch 031 | train=0.001483 | val=RMSE:881.24|MAE:670.06|MAPE:5.79% | epoch_time=0.26s
[efficiency_mean] Epoch 032 | train=0.001358 | val=RMSE:902.58|MAE:703.01|MAPE:6.09% | epoch_time=0.26s
[efficiency_mean] Epoch 033 | train=0.001479 | val=RMSE:892.90|MAE:688.91|MAPE:5.96% | epoch_time=0.26s
[efficiency_mean] Epoch 034 | train=0.001473 | val=RMSE:844.10|MAE:638.89|MAPE:5.53% | epoch_time=0.26s
[efficiency_mean] Epoch 035 | train=0.001268 | val=RMSE:897.11|MAE:693.19|MAPE:6.00% | epoch_time=0.26s
[efficiency_mean] Epoch 036 | train=0.001363 | val=RMSE:870.72|MAE:660.11|MAPE:5.71% | epoch_time=0.26s
[efficiency_mean] Epoch 037 | train=0.001400 | val=RMSE:863.83|MAE:664.19|MAPE:5.75% | epoch_time=0.26s
[efficiency_mean] Epoch 038 | train=0.001432 | val=RMSE:780.14|MAE:593.78|MAPE:5.15% | epoch_time=0.26s
[efficiency_mean] Epoch 039 | train=0.001262 | val=RMSE:834.62|MAE:636.79|MAPE:5.51% | epoch_time=0.26s
[efficiency_mean] Epoch 040 | train=0.001247 | val=RMSE:978.69|MAE:771.52|MAPE:6.69% | epoch_time=0.26s
[efficiency_mean] Epoch 041 | train=0.001316 | val=RMSE:785.98|MAE:603.75|MAPE:5.24% | epoch_time=0.26s
[efficiency_mean] Epoch 042 | train=0.001246 | val=RMSE:878.04|MAE:678.30|MAPE:5.88% | epoch_time=0.26s
[efficiency_mean] Epoch 043 | train=0.001114 | val=RMSE:804.81|MAE:623.42|MAPE:5.41% | epoch_time=0.26s
[efficiency_mean] Epoch 044 | train=0.001339 | val=RMSE:805.80|MAE:619.18|MAPE:5.37% | epoch_time=0.26s
[efficiency_mean] Epoch 045 | train=0.001235 | val=RMSE:818.04|MAE:631.45|MAPE:5.47% | epoch_time=0.26s
[efficiency_mean] Epoch 046 | train=0.001242 | val=RMSE:903.96|MAE:698.07|MAPE:6.04% | epoch_time=0.26s
[efficiency_mean] Epoch 047 | train=0.001331 | val=RMSE:866.50|MAE:667.82|MAPE:5.78% | epoch_time=0.26s
[efficiency_mean] Epoch 048 | train=0.001192 | val=RMSE:861.92|MAE:665.98|MAPE:5.77% | epoch_time=0.26s
[efficiency_mean] Epoch 049 | train=0.001153 | val=RMSE:843.88|MAE:660.79|MAPE:5.73% | epoch_time=0.26s
[efficiency_mean] Epoch 050 | train=0.001137 | val=RMSE:786.48|MAE:602.30|MAPE:5.23% | epoch_time=0.26s
[efficiency_mean] Epoch 051 | train=0.001131 | val=RMSE:822.33|MAE:629.55|MAPE:5.46% | epoch_time=0.26s
[efficiency_mean] Epoch 052 | train=0.001292 | val=RMSE:796.09|MAE:608.38|MAPE:5.28% | epoch_time=0.26s
[efficiency_mean] Epoch 053 | train=0.001101 | val=RMSE:835.12|MAE:633.23|MAPE:5.47% | epoch_time=0.26s
[efficiency_mean] Epoch 054 | train=0.001206 | val=RMSE:821.31|MAE:623.03|MAPE:5.39% | epoch_time=0.26s
[efficiency_mean] Epoch 055 | train=0.001054 | val=RMSE:819.58|MAE:633.96|MAPE:5.50% | epoch_time=0.26s
