-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        19.72%        1.281s       100.00%        6.496s     649.552ms     217.48 KB    -730.99 MB            10  
                               Optimizer.step#Adam.step         8.23%     534.348ms        19.31%        1.254s       2.851ms           0 B    -183.66 MB           440  
                        aten::mkldnn_rnn_layer_backward         5.36%     348.420ms         5.51%     357.952ms     813.528us      69.06 MB      -3.26 MB           440  
                                              aten::bmm         4.62%     300.115ms         4.64%     301.231ms      28.526us     252.98 MB     252.98 MB         10560  
                                            aten::copy_         4.45%     288.905ms         4.45%     288.905ms       1.781us           0 B           0 B        162240  
                                 aten::mkldnn_rnn_layer         4.42%     286.816ms         4.48%     291.053ms     538.987us       1.04 GB       2.05 MB           540  
                                               aten::mm         2.70%     175.168ms         2.75%     178.521ms       7.316us     493.62 MB     493.62 MB         24400  
                                         aten::_to_copy         2.44%     158.477ms         4.82%     313.103ms       2.331us     524.61 KB      17.70 KB        134300  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.31%     150.288ms         3.06%     198.552ms     354.557us       2.08 MB    -219.53 KB           560  
                                            aten::addmm         2.24%     145.638ms         3.69%     239.644ms      17.069us     498.83 MB     498.83 MB         14040  
                                              aten::mul         2.10%     136.364ms         2.59%     168.466ms       7.102us     479.13 MB     479.10 MB         23720  
                                        aten::transpose         1.81%     117.342ms         2.34%     152.018ms       1.475us           0 B           0 B        103040  
                                             aten::add_         1.79%     116.479ms         4.23%     274.469ms       3.999us      38.50 KB    -195.25 KB         68640  
                                       aten::bernoulli_         1.61%     104.818ms         1.61%     104.818ms      18.325us           0 B           0 B          5720  
                                    aten::empty_strided         1.45%      94.201ms         1.45%      94.201ms       0.665us      40.34 MB      40.34 MB        141740  
                                              aten::add         1.33%      86.353ms         1.39%      90.433ms      11.110us     246.71 MB     246.71 MB          8140  
                                             aten::view         1.29%      84.093ms         1.29%      84.093ms       0.834us           0 B           0 B        100860  
                                       aten::as_strided         1.13%      73.511ms         1.13%      73.511ms       0.306us           0 B           0 B        240280  
