-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*        19.98%        1.320s       100.00%        6.607s     660.703ms     213.96 KB    -727.95 MB            10  
                               Optimizer.step#Adam.step         7.94%     524.414ms        18.98%        1.254s       2.850ms           0 B    -183.55 MB           440  
                        aten::mkldnn_rnn_layer_backward         5.35%     353.592ms         5.50%     363.471ms     826.070us      69.06 MB      -3.27 MB           440  
                                              aten::bmm         4.57%     301.670ms         4.58%     302.908ms      28.684us     252.98 MB     252.98 MB         10560  
                                            aten::copy_         4.47%     295.369ms         4.47%     295.369ms       1.810us           0 B           0 B        163220  
                                 aten::mkldnn_rnn_layer         4.43%     292.650ms         4.49%     296.877ms     549.773us       1.04 GB    -212.75 KB           540  
                                               aten::mm         2.66%     175.792ms         2.71%     179.262ms       7.347us     493.57 MB     493.57 MB         24400  
                                         aten::_to_copy         2.39%     157.801ms         4.69%     309.882ms       2.298us     526.72 KB      17.07 KB        134840  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         2.35%     155.202ms         3.06%     202.414ms     361.453us     133.28 KB    -219.53 KB           560  
                                            aten::addmm         2.20%     145.225ms         3.70%     244.616ms      17.423us     498.83 MB     498.83 MB         14040  
                                              aten::mul         2.12%     140.128ms         2.63%     173.744ms       7.162us     479.13 MB     479.09 MB         24260  
                                             aten::add_         1.84%     121.440ms         4.20%     277.791ms       4.047us      20.04 KB    -213.71 KB         68640  
                                        aten::transpose         1.80%     119.125ms         2.35%     155.054ms       1.511us           0 B           0 B        102600  
                                       aten::bernoulli_         1.61%     106.250ms         1.61%     106.250ms      18.575us           0 B           0 B          5720  
                                    aten::empty_strided         1.39%      91.586ms         1.39%      91.586ms       0.642us      40.32 MB      40.32 MB        142720  
                                              aten::add         1.31%      86.856ms         1.37%      90.600ms      11.130us     246.71 MB     246.71 MB          8140  
                                             aten::view         1.28%      84.855ms         1.28%      84.855ms       0.841us           0 B           0 B        100860  
                                             aten::mul_         1.15%      75.970ms         2.45%     161.805ms       2.656us      14.44 KB    -102.83 KB         60920  
